Plate,Sample_name,primer,NWFSCsampleID,dilution,techRep,SampleUID,PlateNo
327,MV1-52193-1263-d5-2_S43,MV1,52193-1263,d5,2,MV1-52193-1263-d5-2_S43_327,2.2
315,MFU-52193-1265-d1-1_S10,MFU,52193-1265,d1,1,MFU-52193-1265-d1-1_S10_315,2.3
328,MV1-52193-1265-d1-1_S12,MV1,52193-1265,d1,1,MV1-52193-1265-d1-1_S12_328,2.3
313,MFU-52193-1267-d1-1_S23,MFU,52193-1267,d1,1,MFU-52193-1267-d1-1_S23_313,2.1
323,MV1-52193-1267-d1-1_S17,MV1,52193-1267,d1,1,MV1-52193-1267-d1-1_S17_323,2.1
324,MV1-52193-1267-d1-2_S23,MV1,52193-1267,d1,2,MV1-52193-1267-d1-2_S23_324,2.1
325,MV1-52193-1267-d1-3_S23,MV1,52193-1267,d1,3,MV1-52193-1267-d1-3_S23_325,2.1
314,MFU-52193-1269-d1-1_S23,MFU,52193-1269,d1,1,MFU-52193-1269-d1-1_S23_314,2.2
326,MV1-52193-1269-d1-1_S29,MV1,52193-1269,d1,1,MV1-52193-1269-d1-1_S29_326,2.2
327,MV1-52193-1269-d1-2_S29,MV1,52193-1269,d1,2,MV1-52193-1269-d1-2_S29_327,2.2
317,MFU-52193-1273-d1-1_S68,MFU,52193-1273,d1,1,MFU-52193-1273-d1-1_S68_317,2.5
330,MV1-52193-1273-d10-1_S31,MV1,52193-1273,d10,1,MV1-52193-1273-d10-1_S31_330,2.5
313,MFU-52193-1275-d5-1_S16,MFU,52193-1275,d5,1,MFU-52193-1275-d5-1_S16_313,2.1
323,MV1-52193-1275-d5-1_S10,MV1,52193-1275,d5,1,MV1-52193-1275-d5-1_S10_323,2.1
324,MV1-52193-1275-d5-2_S16,MV1,52193-1275,d5,2,MV1-52193-1275-d5-2_S16_324,2.1
325,MV1-52193-1275-d5-3_S16,MV1,52193-1275,d5,3,MV1-52193-1275-d5-3_S16_325,2.1
313,MFU-52193-1279-d5-1_S62,MFU,52193-1279,d5,1,MFU-52193-1279-d5-1_S62_313,2.1
323,MV1-52193-1279-d5-1_S44,MV1,52193-1279,d5,1,MV1-52193-1279-d5-1_S44_323,2.1
324,MV1-52193-1279-d5-2_S62,MV1,52193-1279,d5,2,MV1-52193-1279-d5-2_S62_324,2.1
325,MV1-52193-1279-d5-3_S62,MV1,52193-1279,d5,3,MV1-52193-1279-d5-3_S62_325,2.1
313,MFU-52193-1281-d1-1_S45,MFU,52193-1281,d1,1,MFU-52193-1281-d1-1_S45_313,2.1
323,MV1-52193-1281-d1-1_S31,MV1,52193-1281,d1,1,MV1-52193-1281-d1-1_S31_323,2.1
324,MV1-52193-1281-d1-2_S45,MV1,52193-1281,d1,2,MV1-52193-1281-d1-2_S45_324,2.1
325,MV1-52193-1281-d1-3_S45,MV1,52193-1281,d1,3,MV1-52193-1281-d1-3_S45_325,2.1
317,MFU-52193-1283-d1-1_S52,MFU,52193-1283,d1,1,MFU-52193-1283-d1-1_S52_317,2.5
330,MV1-52193-1283-d1-1_S72,MV1,52193-1283,d1,1,MV1-52193-1283-d1-1_S72_330,2.5
316,MFU-52193-1285-d1-1_S15,MFU,52193-1285,d1,1,MFU-52193-1285-d1-1_S15_316,2.4
329,MV1-52193-1285-d1-1_S22,MV1,52193-1285,d1,1,MV1-52193-1285-d1-1_S22_329,2.4
315,MFU-52193-1289-d10-1_S83,MFU,52193-1289,d10,1,MFU-52193-1289-d10-1_S83_315,2.3
328,MV1-52193-1289-d10-1_S63,MV1,52193-1289,d10,1,MV1-52193-1289-d10-1_S63_328,2.3
317,MFU-52193-1291-d1-1_S40,MFU,52193-1291,d1,1,MFU-52193-1291-d1-1_S40_317,2.5
330,MV1-52193-1291-d1-1_S55,MV1,52193-1291,d1,1,MV1-52193-1291-d1-1_S55_330,2.5
314,MFU-52193-1293-d1-1_S53,MFU,52193-1293,d1,1,MFU-52193-1293-d1-1_S53_314,2.2
326,MV1-52193-1293-d1-1_S66,MV1,52193-1293,d1,1,MV1-52193-1293-d1-1_S66_326,2.2
327,MV1-52193-1293-d1-2_S66,MV1,52193-1293,d1,2,MV1-52193-1293-d1-2_S66_327,2.2
313,MFU-52193-1295-d1-1_S34,MFU,52193-1295,d1,1,MFU-52193-1295-d1-1_S34_313,2.1
323,MV1-52193-1295-d1-1_S24,MV1,52193-1295,d1,1,MV1-52193-1295-d1-1_S24_323,2.1
324,MV1-52193-1295-d1-2_S34,MV1,52193-1295,d1,2,MV1-52193-1295-d1-2_S34_324,2.1
325,MV1-52193-1295-d1-3_S34,MV1,52193-1295,d1,3,MV1-52193-1295-d1-3_S34_325,2.1
313,MFU-52193-1299-d5-1_S60,MFU,52193-1299,d5,1,MFU-52193-1299-d5-1_S60_313,2.1
323,MV1-52193-1299-d5-1_S43,MV1,52193-1299,d5,1,MV1-52193-1299-d5-1_S43_323,2.1
324,MV1-52193-1299-d5-2_S60,MV1,52193-1299,d5,2,MV1-52193-1299-d5-2_S60_324,2.1
325,MV1-52193-1299-d5-3_S60,MV1,52193-1299,d5,3,MV1-52193-1299-d5-3_S60_325,2.1
317,MFU-52193-1301-d5-1_S54,MFU,52193-1301,d5,1,MFU-52193-1301-d5-1_S54_317,2.5
330,MV1-52193-1301-d5-1_S74,MV1,52193-1301,d5,1,MV1-52193-1301-d5-1_S74_330,2.5
315,MFU-52193-1310-d5-1_S24,MFU,52193-1310,d5,1,MFU-52193-1310-d5-1_S24_315,2.3
328,MV1-52193-1310-d5-1_S32,MV1,52193-1310,d5,1,MV1-52193-1310-d5-1_S32_328,2.3
314,MFU-52193-1313-d5-1_S60,MFU,52193-1313,d5,1,MFU-52193-1313-d5-1_S60_314,2.2
326,MV1-52193-1313-d5-1_S75,MV1,52193-1313,d5,1,MV1-52193-1313-d5-1_S75_326,2.2
327,MV1-52193-1313-d5-2_S75,MV1,52193-1313,d5,2,MV1-52193-1313-d5-2_S75_327,2.2
313,MFU-52193-1314-d5-1_S4,MFU,52193-1314,d5,1,MFU-52193-1314-d5-1_S4_313,2.1
323,MV1-52193-1314-d50-1_S99,MV1,52193-1314,d50,1,MV1-52193-1314-d50-1_S99_323,2.1
324,MV1-52193-1314-d50-2_S4,MV1,52193-1314,d50,2,MV1-52193-1314-d50-2_S4_324,2.1
325,MV1-52193-1314-d50-3_S4,MV1,52193-1314,d50,3,MV1-52193-1314-d50-3_S4_325,2.1
